2
1  -2 -1  0.834443614313 -0.000000000018
1  -1 -2  0.834443615209 0.000000000003
1  -1 -1  2.32741648461 4.25981553233
1  -1 0  2.32741648377 -4.25981553114
1  -1 1  0.834443614314 -0.000000000022
1  0 -1  2.32741648462 -4.25981553234
1  0 0  12.1048589216 0.
1  0 1  2.32741648462 4.25981553234
1  1 -1  0.834443614314 0.000000000022
1  1 0  2.32741648377 4.25981553114
1  1 1  2.32741648461 -4.25981553233
1  1 2  0.834443615209 -0.000000000003
1  2 1  0.834443614313 0.000000000018
2  -2 -1  -0.657149992427 -0.000000000168
2  -2 0  -0.657149992371 0.000000000018
2  -1 -1  1.49924445659 0.000000000003
2  -1 0  -2.98627328287 -0.000000000179
2  -1 1  1.49924445684 -0.000000000101
2  0 -1  -0.657149992426 0.000000000167
2  0 0  -2.98627328287 0.000000000178
2  0 1  -2.98627328307 0.000000000001
2  0 2  -0.657149992562 -0.000000000213
2  1 0  -0.657149992369 -0.000000000019
2  1 1  1.49924445684 0.000000000098
2  1 2  -0.657149992561 0.000000000215

1  -1 -2  -0.657149992561 -0.000000000215
1  -1 -1  1.49924445684 -0.000000000098
1  -1 0  -0.657149992369 0.000000000019
1  0 -2  -0.657149992562 0.000000000213
1  0 -1  -2.98627328307 -0.000000000001
1  0 0  -2.98627328287 -0.000000000178
1  0 1  -0.657149992426 -0.000000000167
1  1 -1  1.49924445684 0.000000000101
1  1 0  -2.98627328287 0.000000000179
1  1 1  1.49924445659 -0.000000000003
1  2 0  -0.657149992371 -0.000000000018
1  2 1  -0.657149992427 0.000000000168
2  -2 -1  0.834443613761 0.000000000747
2  -1 -2  0.834443616347 0.
2  -1 -1  2.3274164854 -4.25981553002
2  -1 0  2.32741648386 4.25981553305
2  -1 1  0.834443613761 0.000000000747
2  0 -1  2.3274164854 4.25981553002
2  0 0  12.104858923 0.
2  0 1  2.3274164854 -4.25981553002
2  1 -1  0.834443613761 -0.000000000747
2  1 0  2.32741648386 -4.25981553305
2  1 1  2.3274164854 4.25981553002
2  1 2  0.834443616347 0.
2  2 1  0.834443613761 -0.000000000747
